artist	genres
We Are The Ocean	british alternative rock, screamo
We Came As Romans	emo, melodic metalcore, metalcore, pixie, pop punk, post-screamo, rap metal, screamo
We the Kings	emo, neo mellow, piano rock, pixie, pop, pop punk, pop rock, post-teen pop, teen pop, viral pop
weatherPROOF	No data
Weerd Science	abstract hip hop
Weezer	alternative metal, alternative rock, blues-rock, garage rock, indie christmas, indie pop, indie rock, nu metal, permanent wave, pop christmas, pop punk, pop rock, post-grunge, punk christmas, rock
We're Doomed	No genre
West Beverly	No data
While She Sleeps	melodic metalcore, metalcore, rap metal, screamo
Whitechapel	death core, groove metal, melodic metalcore, metalcore, nu metal, rap metal, screamo
White Kaps	No data
The White Noise	Post-hardcore, melodic hardcore, hardcore punk, metalcore
Wick-It The Instigator	mashup
William Control	electropowerpop, steampunk
Wind In Sails	anthem emo
Winds Of Plague	death core, melodic metalcore, metalcore
Windsor Drive	dreamo, piano rock
